iter	Passed	Remaining
399	34331	51497
400	34419	51414
401	34509	51335
402	34592	51244
403	34688	51174
404	34781	51098
405	34861	51003
406	34968	50949
407	35047	50853
408	35125	50755
409	35213	50673
410	35301	50590
411	35389	50507
412	35488	50439
413	35571	50349
414	35654	50259
415	35743	50177
416	35832	50096
417	35923	50017
418	36012	49936
419	36099	49851
420	36189	49770
421	36276	49686
422	36363	49602
423	36458	49528
424	36556	49459
425	36660	49396
426	36743	49306
427	36828	49219
428	36921	49142
429	36997	49043
430	37086	48960
431	37175	48878
432	37253	48782
433	37344	48702
434	37432	48619
435	37516	48530
436	37626	48475
437	37709	48384
438	37790	48293
439	37894	48229
440	37990	48155
441	38071	48062
442	38158	47977
443	38240	47886
444	38328	47803
445	38410	47711
446	38501	47631
447	38584	47542
448	38675	47461
449	38766	47381
450	38849	47290
451	38943	47214
452	39024	47122
453	39103	47026
454	39194	46947
455	39280	46861
456	39364	46771
457	39468	46706
458	39551	46616
459	39631	46524
460	39723	46444
461	39812	46361
462	39903	46280
463	39995	46201
464	40074	46107
465	40154	46013
466	40244	45932
467	40339	45855
468	40423	45767
469	40508	45680
470	40597	45597
471	40684	45511
472	40780	45436
473	40881	45366
474	40979	45292
475	41066	45207
476	41151	45120
477	41241	45037
478	41325	44948
479	41420	44872
480	41504	44783
481	41599	44706
482	41691	44626
483	41778	44540
484	41877	44467
485	41968	44386
486	42050	44295
487	42132	44204
488	42222	44122
489	42303	44030
490	42391	43945
491	42477	43858
492	42560	43768
493	42635	43671
494	42720	43583
495	42798	43488
496	42893	43411
497	42974	43319
498	43052	43225
499	43133	43133
500	43224	43051
501	43329	42984
502	43463	42945
503	43545	42853
504	43622	42758
505	43705	42669
506	43796	42587
507	43890	42508
508	43978	42423
509	44054	42326
510	44132	42232
511	44211	42139
512	44305	42060
513	44439	42019
514	44557	41961
515	44636	41867
516	44728	41786
517	44815	41700
518	44905	41617
519	44993	41532
520	45079	41445
521	45164	41357
522	45255	41275
523	45353	41199
524	45440	41112
525	45528	41027
526	45645	40968
527	45744	40892
528	45830	40805
529	45918	40720
530	46008	40636
531	46093	40548
532	46185	40466
533	46275	40382
534	46376	40308
535	46480	40237
536	46605	40183
537	46707	40109
538	46796	40024
539	46889	39942
540	46972	39853
541	47051	39759
542	47147	39679
543	47258	39613
544	47393	39566
545	47481	39480
546	47574	39399
547	47661	39312
548	47765	39239
549	47866	39163
550	47952	39075
551	48045	38993
552	48134	38908
553	48222	38821
554	48310	38735
555	48399	38649
556	48518	38588
557	48634	38524
558	48698	38418
559	48812	38352
560	48920	38281
561	49025	38208
562	49123	38129
563	49218	38048
564	49346	37992
565	49441	37910
566	49525	37821
567	49615	37735
568	49704	37649
569	49789	37560
570	49895	37486
571	49975	37394
572	50055	37301
573	50145	37216
574	50235	37130
575	50311	37034
576	50399	36948
577	50479	36855
578	50559	36762
579	50645	36674
580	50748	36598
581	50842	36515
582	50950	36442
583	51029	36349
584	51115	36261
585	51218	36185
586	51300	36093
587	51401	36015
588	51491	35930
589	51600	35857
590	51716	35790
591	51820	35714
592	51918	35633
593	52009	35548
594	52102	35464
595	52206	35388
596	52314	35314
597	52424	35241
598	52526	35163
599	52622	35081
600	52722	35002
601	52821	34921
602	52933	34849
603	53064	34790
604	53162	34709
605	53258	34626
606	53356	34545
607	53435	34452
608	53523	34363
609	53614	34278
610	53714	34197
611	53825	34124
612	53917	34039
613	53997	33946
614	54081	33855
615	54161	33762
