iter	Logloss
0	0.6787823483
1	0.6655920941
2	0.6542795875
3	0.6424368639
4	0.6311990748
5	0.621955742
6	0.6128216945
7	0.6044643543
8	0.5962565781
9	0.5886788489
10	0.5818949895
11	0.575016277
12	0.5707112635
13	0.5624124272
14	0.5570203598
15	0.5518873165
16	0.5470097987
17	0.5413972344
18	0.5368942197
19	0.5329211391
20	0.5273275355
21	0.5260652028
22	0.5227324322
23	0.5188889583
24	0.5161828584
25	0.5132163527
26	0.5103736292
27	0.505813482
28	0.5041138229
29	0.5011362425
30	0.4985477723
31	0.4953893849
32	0.491882323
33	0.4893012987
34	0.4886846344
35	0.4875388929
36	0.4854889163
37	0.4818283056
38	0.479756719
39	0.4792769528
40	0.4758423663
41	0.4744651968
42	0.4740689691
43	0.4724166474
44	0.4716699857
45	0.4694902091
46	0.4663855251
47	0.4660645537
48	0.4650876206
49	0.4644482141
50	0.4635564692
51	0.4632932709
52	0.4627126731
53	0.4617704273
54	0.4600864877
55	0.4584611579
56	0.4579133569
57	0.4569949532
58	0.4554934813
59	0.4540811183
60	0.4521208638
61	0.4505143214
62	0.4494150158
63	0.4481070466
64	0.4477468181
65	0.4461996197
66	0.4438066213
67	0.4431094688
68	0.4418364175
69	0.4405920357
70	0.4391660355
71	0.4390971241
72	0.4382133568
73	0.4367210164
74	0.4355706658
75	0.4344585922
76	0.4331370301
77	0.4330167482
78	0.4324180625
79	0.4319185349
80	0.4317243806
81	0.4313910784
82	0.4307914904
83	0.430501922
84	0.4298937389
85	0.4286457626
86	0.4274605853
87	0.4267941078
88	0.425726557
89	0.4249160777
90	0.4240740277
91	0.4240549384
92	0.4229861291
93	0.422240842
94	0.4207490843
95	0.4196644197
96	0.4192448928
97	0.4185238402
98	0.4175656841
99	0.4170436908
100	0.4155096412
101	0.4147691267
102	0.4145935726
103	0.413756389
104	0.4135692915
105	0.4128306193
106	0.4121921928
107	0.4120922616
108	0.4117068564
109	0.4112644207
110	0.4109700432
111	0.4106125531
112	0.4102609399
113	0.4097308401
114	0.4090688222
115	0.4088188932
116	0.4080063529
117	0.4077988703
118	0.4074920665
119	0.4065532397
120	0.4063770586
121	0.4054370371
122	0.4048569193
123	0.4047202761
124	0.4044614224
125	0.4039839877
126	0.4031265288
127	0.4028414913
128	0.4023405684
129	0.4021238905
130	0.4009143486
131	0.400296731
132	0.3996634373
133	0.3995789846
134	0.3988971756
135	0.3987774189
136	0.3976873293
137	0.3963747786
138	0.3957851752
139	0.3951094725
140	0.3943314104
141	0.393680534
142	0.3930864638
143	0.3927284656
144	0.3921279476
145	0.3919569987
146	0.3918841027
147	0.3913522613
148	0.3910261941
149	0.3905072268
150	0.3903317756
151	0.3889651116
152	0.3885553441
153	0.3878634762
154	0.3870489603
155	0.3862951744
156	0.3856951786
157	0.3850379461
158	0.3833339749
159	0.3823470359
160	0.3815241938
161	0.3802440175
162	0.379730518
163	0.3791511058
164	0.3784882481
165	0.3779803821
166	0.3766682636
167	0.3762459687
168	0.3757479214
169	0.3756819871
170	0.3750689003
171	0.3742572319
172	0.3735208193
173	0.3728693527
174	0.3719352564
175	0.3718724417
176	0.3715954563
177	0.371157253
178	0.3703504166
179	0.3695212618
180	0.3683208333
181	0.3672249466
182	0.3664690512
183	0.3659858624
184	0.3657030587
185	0.3655594144
186	0.3654571152
187	0.3648597547
188	0.3647639644
189	0.3642711565
190	0.3640820854
191	0.3639902177
192	0.3629948077
193	0.3623841341
194	0.36228452
195	0.3621649648
196	0.3618243988
197	0.3614851815
198	0.3610808165
199	0.3597569615
200	0.3595391457
201	0.3592550929
202	0.358571368
203	0.3575982916
204	0.3573874225
205	0.3573271196
206	0.3566611775
207	0.356588533
208	0.3562733845
209	0.3562555176
210	0.3560787193
211	0.3557771321
212	0.354907682
213	0.3544227967
214	0.354185053
215	0.3535866631
216	0.3528070318
217	0.3527022238
218	0.3524139988
219	0.3519794227
220	0.3509938769
221	0.3505909739
222	0.3502008231
223	0.3497821684
224	0.3495047738
225	0.349171866
226	0.34905922
227	0.3485474981
228	0.3484055388
229	0.347994372
230	0.3476149871
231	0.3470128921
232	0.3459871387
233	0.3458057544
234	0.3453933797
235	0.3453676223
236	0.3452895962
237	0.3441700559
238	0.3435829779
239	0.343456284
240	0.3431140004
241	0.3421412661
242	0.3413558142
243	0.3409203505
244	0.3406068906
245	0.3403695876
246	0.3400285035
247	0.3396052583
248	0.3393279501
249	0.3384304059
250	0.3379416856
251	0.3376505344
252	0.33691781
253	0.3367856038
254	0.336223765
255	0.3359410278
256	0.3358404909
257	0.3351358866
258	0.3338693556
259	0.333179841
260	0.3331356377
261	0.3321345692
262	0.331877044
263	0.3311232929
264	0.3309383906
265	0.3299709257
266	0.3294065262
267	0.3293652803
268	0.3287923752
269	0.3284501402
270	0.3276814821
271	0.3272648875
272	0.3265867846
273	0.32577542
274	0.3247907715
275	0.3241191073
276	0.3238299316
277	0.3235667645
278	0.323182244
279	0.3228498757
280	0.322734355
281	0.3217170251
282	0.3214482989
283	0.3211832657
284	0.3208004368
285	0.3203349521
286	0.3198388728
287	0.3183989377
288	0.318330402
289	0.3177285821
290	0.3173218227
291	0.3172252358
292	0.3170979542
293	0.3162336666
294	0.3156628722
295	0.3153501418
296	0.3150749334
297	0.3147525062
298	0.3143972185
299	0.3138896769
300	0.3130027059
301	0.312888326
302	0.3126590996
303	0.3117275045
304	0.3111128542
305	0.3106951517
306	0.3100892135
307	0.3098146245
308	0.3092165556
309	0.3084976543
310	0.3082015144
311	0.308006942
312	0.3075449271
313	0.3066745746
314	0.306290482
315	0.3061499066
316	0.3058841296
317	0.3055909711
318	0.305276957
319	0.3050535667
320	0.3049053202
321	0.3040661151
322	0.3040194783
323	0.303880335
324	0.3037003023
325	0.3029168796
326	0.3025150989
327	0.3008522633
328	0.2997829145
329	0.2994049726
330	0.2992797108
331	0.2983528648
332	0.2980783958
333	0.2976591821
334	0.2971344344
335	0.2969550009
336	0.2963458866
337	0.2954971878
338	0.2951133756
339	0.2943576542
340	0.2935236612
341	0.2933114675
342	0.2928666283
343	0.2917217938
344	0.2910079792
345	0.2905926538
346	0.290432856
347	0.2898838281
348	0.2893863805
349	0.2888213413
350	0.2881182974
351	0.2874354653
352	0.2865282063
353	0.2860725868
354	0.2856199086
355	0.2852942748
356	0.2851415426
357	0.2847203107
358	0.2838216132
359	0.2835177093
360	0.283188277
361	0.2829947411
362	0.2828725691
363	0.2820821829
364	0.2809030301
365	0.2804944645
366	0.2798969966
367	0.2792953921
368	0.2789091817
369	0.2784910851
370	0.2776276498
371	0.276881914
372	0.2765524598
373	0.2757362255
374	0.2753405641
375	0.2747159406
376	0.2742732024
377	0.2732616896
378	0.272772576
379	0.2725686362
380	0.272140179
381	0.2719031488
382	0.2716911479
383	0.2710943871
384	0.2709180204
385	0.2707158565
386	0.2704688959
387	0.2700056496
388	0.2697081483
389	0.2687290551
390	0.2685590283
391	0.2681932467
392	0.2675986831
393	0.2674950579
394	0.2673830084
395	0.2669711863
396	0.2661313742
397	0.2658436409
398	0.264935158
399	0.2646426888
400	0.2644369117
401	0.2639814596
402	0.2632716137
403	0.2631359471
404	0.2629197335
405	0.2627342165
406	0.2620577844
407	0.2616865674
408	0.260703106
409	0.2605536665
410	0.2601201142
411	0.2600064616
412	0.2591689926
413	0.2585611383
414	0.2583859038
415	0.2573223968
416	0.2567430687
417	0.2564542248
418	0.2552399653
419	0.2550313441
420	0.2546633084
421	0.2545804065
422	0.2536254065
423	0.2535379575
424	0.2527515407
425	0.2525846495
426	0.2521524403
427	0.2520585899
428	0.2516617039
429	0.2511303875
430	0.2507820235
431	0.2505142549
432	0.2500082651
433	0.2498091664
434	0.2496945353
435	0.2488874654
436	0.2486684893
437	0.2485512933
438	0.2480733814
439	0.2472083231
440	0.2471433602
441	0.2458463065
442	0.2453983051
443	0.2451774658
444	0.2447607428
445	0.2446600256
446	0.2445592767
447	0.2444482347
448	0.2441155008
449	0.2440734794
450	0.2437403969
451	0.2431338284
452	0.2422815295
453	0.2421772864
454	0.2416039578
455	0.2415183771
456	0.2414852841
457	0.2410604529
458	0.2407263794
459	0.2405771733
460	0.2403609128
461	0.2401762604
462	0.2398314582
463	0.2393550234
464	0.2385289638
465	0.2382381844
466	0.2381711251
467	0.2380063547
468	0.2379120313
469	0.2371820569
470	0.2370037003
471	0.2366191685
472	0.2362220905
473	0.2356712343
474	0.2350940856
475	0.2346898041
476	0.2345592098
477	0.2344507557
478	0.2339948663
479	0.2333371975
480	0.2324214412
481	0.2320402215
482	0.2317787992
483	0.2310754803
484	0.2304967679
485	0.2299951539
486	0.2293918938
487	0.2289594275
488	0.2284066566
489	0.2277325826
490	0.227128839
491	0.2265633471
492	0.226277901
493	0.2257120638
494	0.2252758623
495	0.2249585216
496	0.2243851313
497	0.2237521617
498	0.2236263669
499	0.2231879121
500	0.2229261504
501	0.2226473399
502	0.2222309024
503	0.2218697641
504	0.2215210918
505	0.2211848504
506	0.2210320895
507	0.2207643665
508	0.2198503999
509	0.2192124778
510	0.2188080072
511	0.2183425458
512	0.2180410674
513	0.2172895794
514	0.2170226308
515	0.2167841038
516	0.2164342144
517	0.216157098
518	0.2160411527
519	0.2160238237
520	0.2155127056
521	0.2152167924
522	0.2151116145
523	0.2146130059
524	0.2145663002
525	0.2145204805
526	0.2142802261
527	0.2135855662
528	0.2135117624
529	0.2133485504
530	0.2132817346
531	0.213195989
532	0.213066179
533	0.212989175
534	0.2126304895
535	0.212184813
536	0.2121387167
537	0.2120418534
538	0.2116836469
539	0.2110281454
540	0.2109864879
541	0.210695319
542	0.2103918259
543	0.210137326
544	0.2096218505
545	0.2094394496
546	0.2089308512
547	0.2088644542
548	0.2081467461
549	0.2075793188
550	0.2074722929
551	0.2074051804
552	0.2071585811
553	0.2069966394
554	0.2064999705
555	0.2062544429
556	0.2057155023
557	0.2054662177
558	0.2052150266
559	0.2048979377
560	0.2048118448
